Date;Région;Département;Type de ligne;Matériel;Coût par minute;Durée de communication;Coût de communication;Qualité de la communication
01/10/2023;Idaho;Juridique;VoIP;Thomson st2030;0,11;40;4,4;8
01/11/2021;Nevada;Ventes;Fixe;Siemens Gigaset a400;0,09;70;6,3;5
01/11/2024;Utah;Direction;Mobile;Apple iPhone;0,09;30;2,7;2
01/01/2023;Utah;R&D;Mobile;Apple iPhone;0,11;25;2,75;2
01/03/2024;Montana;R&D;VoIP;Thomson st3030;0,1;5;0,5;9
01/06/2021;Michigan;Achats;Mobile;Samsung Galaxy;0,11;20;2,2;10
01/04/2022;Wyoming;R&D;Mobile;Samsung Galaxy;0,12;60;7,2;7
01/05/2024;Grand;Est;Fixe;Siemens Gigaset a400;0,11;75;8,25;3
01/07/2022;Tennessee;Marketing;Mobile;Samsung Galaxy;0,1;10;1;2
01/03/2021;Québec;RH;VoIP;Thomson st2030;0,09;50;4,5;4
01/06/2021;Texas;SI;VoIP;Thomson st3030;0,09;50;4,5;7
01/12/2023;Écosse;SI;Mobile;Samsung Galaxy;0,1;30;3;3
01/10/2021;Hauts-De-France;Juridique;VoIP;Cisco SPA 303;0,09;55;4,95;9
01/06/2024;Nouvelle-Écosse;Marketing;Mobile;Samsung Galaxy;0,11;20;2,2;5
01/03/2022;Grand;Est;Mobile;Samsung Galaxy;0,09;50;4,5;4
01/07/2022;Missouri;Production;Fixe;Alcatel Versatis;0,1;60;6;6
01/07/2021;Indiana;RH;Fixe;Siemens Gigaset a400;0,09;75;6,75;2
01/07/2022;Idaho;Finance;VoIP;Cisco SPA 303;0,11;25;2,75;2
01/11/2024;Normandie;Ventes;Fixe;Logicom Nova 350;0,1;70;7;7
01/09/2024;Louisiana;Achats;Mobile;Samsung Galaxy;0,1;5;0,5;10
01/08/2023;Pays;de;VoIP;Thomson st2030;0,11;15;1,65;3
01/07/2021;Provence-Alpes-Côte;d'Azur;Fixe;Siemens Gigaset a400;0,12;55;6,6;9
01/12/2024;Montana;Marketing;Fixe;Siemens Gigaset a400;0,1;5;0,5;3
01/02/2022;Kentucky;Marketing;Fixe;Logicom Nova 350;0,1;30;3;6
01/02/2023;Idaho;Juridique;Mobile;Samsung Galaxy;0,11;55;6,05;5
01/05/2023;Arizona;Juridique;Mobile;Apple iPhone;0,1;50;5;9
01/01/2022;Pays;de;Mobile;Apple iPhone;0,1;5;0,5;10
01/12/2021;Ontario;Production;Mobile;LG G4;0,11;50;5,5;8
01/11/2022;Michigan;RH;Mobile;LG G4;0,11;70;7,7;9
01/07/2021;Nouvelle-Écosse;Juridique;VoIP;Thomson st3030;0,11;30;3,3;3
01/04/2022;Bretagne;RH;Fixe;Logicom Nova 350;0,12;55;6,6;9
01/04/2022;Provence-Alpes-Côte;d'Azur;Fixe;Siemens Gigaset a400;0,09;30;2,7;2
01/08/2022;Alaska;Juridique;VoIP;Cisco SPA 303;0,11;60;6,6;9
01/11/2021;South;Dakota;Mobile;Apple iPhone;0,2;80;7,9;7
01/05/2022;Oklahoma;Achats;VoIP;Thomson st3030;0,1;45;4,5;6
01/12/2022;Maryland;Juridique;Fixe;Logicom Nova 350;0,09;35;3,15;10
01/05/2023;Maryland;Direction;Mobile;Samsung Galaxy;0,12;35;4,2;4
01/12/2021;Occitanie;SI;VoIP;Thomson st2030;0,11;15;1,65;2
01/11/2024;Occitanie;Marketing;VoIP;Thomson st2030;0,1;40;4;6
01/04/2024;New;Jersey;Fixe;Alcatel Versatis;0,1;70;7;4
01/06/2021;Nouvelle-Aquitaine;RH;Fixe;Alcatel Versatis;0,11;20;2,2;4
01/12/2022;Occitanie;Direction;Fixe;Logicom Nova 350;0,11;5;0,55;3
01/07/2023;Centre-Val;de;Mobile;LG G4;0,1;10;1;4
